cpu_usage,cpu_temp,gpu_temp,gpu_usage,gpu_mem,disk_temp,disk_life,disk_spare,label_cpu,label_gpu,label_disk,risk_class
6.3,68.3,77.2,0.0,22.0,37,86.0,100.0,0,0,0,0
4.4,66.9,77.2,0.0,22.2,37,86.0,100.0,0,0,0,0
5.1,67.6,77.4,0.0,22.3,37,86.0,100.0,0,0,0,0
6.4,68.8,77.9,0.0,22.2,37,86.0,100.0,0,0,0,0
9.1,70.8,78.0,0.0,22.3,37,86.0,100.0,0,0,0,0
3.5,66.5,77.5,0.0,22.0,37,86.0,100.0,0,0,0,0
5.6,68.7,78.0,0.0,22.2,37,86.0,100.0,0,0,0,0
6.5,69.3,78.0,0.0,22.2,37,86.0,100.0,0,0,0,0
4.8,68.6,78.0,0.0,22.2,37,86.0,100.0,0,0,0,0
9.6,71.0,78.0,0.0,22.2,37,86.0,100.0,0,0,0,0
3.8,67.1,77.8,0.0,22.2,37,86.0,100.0,0,0,0,0
1.4,64.8,76.4,0.0,22.1,37,86.0,100.0,0,0,0,0
2.1,64.2,75.6,0.0,21.9,37,86.0,100.0,0,0,0,0
3.3,65.7,76.5,0.0,21.8,37,86.0,100.0,0,0,0,0
2.3,64.3,76.2,0.0,21.8,37,86.0,100.0,0,0,0,0
4.2,65.7,76.3,0.0,21.8,37,86.0,100.0,0,0,0,0
3.2,65.2,76.2,0.0,22.0,37,86.0,100.0,0,0,0,0
3.4,66.3,77.0,0.0,22.0,37,86.0,100.0,0,0,0,0
3.5,66.0,77.0,0.0,22.0,37,86.0,100.0,0,0,0,0
3.6,66.4,77.2,0.0,22.0,37,86.0,100.0,0,0,0,0
4.1,65.4,76.4,0.0,22.3,37,86.0,100.0,0,0,0,0
2.7,65.3,76.7,0.0,22.2,37,86.0,100.0,0,0,0,0
2.1,64.5,76.2,0.0,22.0,37,86.0,100.0,0,0,0,0
5.5,67.6,77.2,0.0,21.8,37,86.0,100.0,0,0,0,0
4.1,66.9,77.0,0.0,21.9,37,86.0,100.0,0,0,0,0
2.8,65.6,76.5,0.0,21.6,37,86.0,100.0,0,0,0,0
2.5,64.5,76.0,0.0,21.6,37,86.0,100.0,0,0,0,0
2.0,65.0,76.3,0.0,21.4,37,86.0,100.0,0,0,0,0
2.8,64.4,76.0,0.0,21.4,37,86.0,100.0,0,0,0,0
1.9,64.4,76.0,0.0,21.4,37,86.0,100.0,0,0,0,0
4.8,66.2,76.5,0.0,21.4,37,86.0,100.0,0,0,0,0
1.7,64.0,75.7,0.0,21.4,37,86.0,100.0,0,0,0,0
2.4,63.7,75.5,0.0,21.4,37,86.0,100.0,0,0,0,0
1.6,63.2,74.6,0.0,21.4,37,86.0,100.0,0,0,0,0
2.0,63.2,74.6,0.0,21.5,37,86.0,100.0,0,0,0,0
2.2,63.6,75.4,0.0,21.5,37,86.0,100.0,0,0,0,0
2.1,63.5,75.3,0.0,21.5,37,86.0,100.0,0,0,0,0
2.0,63.4,75.1,0.0,21.5,37,86.0,100.0,0,0,0,0
1.0,62.4,74.1,0.0,21.4,37,86.0,100.0,0,0,0,0
2.1,62.8,74.5,0.0,21.4,37,86.0,100.0,0,0,0,0
1.5,62.4,73.9,0.0,21.4,37,86.0,100.0,0,0,0,0
2.0,62.3,73.8,0.0,21.4,37,86.0,100.0,0,0,0,0
1.6,61.8,73.6,0.0,21.4,37,86.0,100.0,0,0,0,0
1.6,61.8,73.2,0.0,21.4,37,86.0,100.0,0,0,0,0
1.8,61.8,73.1,0.0,21.4,37,86.0,100.0,0,0,0,0
3.9,63.5,74.0,0.0,21.4,37,86.0,100.0,0,0,0,0
1.7,61.8,73.9,0.0,21.4,37,86.0,100.0,0,0,0,0
2.1,61.8,73.3,0.0,21.4,37,86.0,100.0,0,0,0,0
1.6,61.7,73.3,0.0,21.4,37,86.0,100.0,0,0,0,0
1.6,61.8,73.3,0.0,21.4,37,86.0,100.0,0,0,0,0
1.1,61.2,72.9,0.0,21.4,37,86.0,100.0,0,0,0,0
2.0,61.6,73.0,0.0,21.4,37,86.0,100.0,0,0,0,0
1.8,61.1,72.8,0.0,21.4,37,86.0,100.0,0,0,0,0
1.4,60.9,72.5,0.0,21.4,37,86.0,100.0,0,0,0,0
1.7,60.9,72.4,0.0,21.4,37,86.0,100.0,0,0,0,0
1.8,60.9,72.3,0.0,21.4,37,86.0,100.0,0,0,0,0
1.2,60.9,72.5,0.0,21.4,37,86.0,100.0,0,0,0,0
2.0,61.4,73.0,0.0,21.4,37,86.0,100.0,0,0,0,0
2.2,61.9,73.7,0.0,21.4,37,86.0,100.0,0,0,0,0
2.2,61.7,73.5,0.0,21.4,37,86.0,100.0,0,0,0,0
4.3,63.2,74.0,0.0,21.4,37,86.0,100.0,0,0,0,0
1.8,61.1,73.1,0.0,21.4,37,86.0,100.0,0,0,0,0
1.9,61.5,73.4,0.0,21.4,37,86.0,100.0,0,0,0,0
2.1,61.1,73.0,0.0,21.4,37,86.0,100.0,0,0,0,0
1.5,60.3,71.7,0.0,21.4,37,86.0,100.0,0,0,0,0
1.8,61.2,73.0,0.0,21.4,37,86.0,100.0,0,0,0,0
1.4,61.0,72.9,0.0,21.4,37,86.0,100.0,0,0,0,0
1.7,60.7,72.5,0.0,21.4,37,86.0,100.0,0,0,0,0
1.6,60.4,72.1,0.0,21.4,37,86.0,100.0,0,0,0,0
2.0,60.2,72.0,0.0,21.4,37,86.0,100.0,0,0,0,0
1.7,60.4,72.4,0.0,21.4,37,86.0,100.0,0,0,0,0
2.9,62.2,73.4,0.0,21.4,37,86.0,100.0,0,0,0,0
1.4,60.8,72.9,0.0,21.4,37,86.0,100.0,0,0,0,0
2.1,60.9,72.2,0.0,21.4,37,86.0,100.0,0,0,0,0
2.4,61.2,72.8,0.0,21.4,37,86.0,100.0,0,0,0,0
4.4,62.6,73.2,0.0,21.4,37,86.0,100.0,0,0,0,0
1.3,61.1,72.9,0.0,21.4,37,86.0,100.0,0,0,0,0
2.4,61.9,73.4,0.0,21.4,37,86.0,100.0,0,0,0,0
1.7,60.7,72.4,0.0,21.6,37,86.0,100.0,0,0,0,0
2.6,61.6,73.1,0.0,21.6,37,86.0,100.0,0,0,0,0
2.0,61.2,72.7,0.0,21.5,37,86.0,100.0,0,0,0,0
1.5,60.2,72.0,0.0,21.5,37,86.0,100.0,0,0,0,0
1.7,60.2,71.8,0.0,21.5,37,86.0,100.0,0,0,0,0
1.4,60.2,71.8,0.0,21.5,37,86.0,100.0,0,0,0,0
1.8,59.9,71.7,0.0,21.5,37,86.0,100.0,0,0,0,0
1.6,59.5,71.1,0.0,21.5,37,86.0,100.0,0,0,0,0
1.5,59.6,71.1,0.0,21.4,37,86.0,100.0,0,0,0,0
1.5,60.6,71.9,0.0,21.4,37,86.0,100.0,0,0,0,0
2.0,60.8,72.2,0.0,21.4,37,86.0,100.0,0,0,0,0
2.9,61.5,72.2,0.0,21.4,37,86.0,100.0,0,0,0,0
4.6,64.2,73.7,0.0,21.4,37,86.0,100.0,0,0,0,0
2.0,61.7,73.7,0.0,21.4,37,86.0,100.0,0,0,0,0
3.5,62.6,73.2,0.0,21.4,37,86.0,100.0,0,0,0,0
2.1,61.8,73.7,0.0,21.4,37,86.0,100.0,0,0,0,0
3.5,63.1,73.4,0.0,21.4,37,86.0,100.0,0,0,0,0
3.1,63.1,73.8,0.0,21.5,37,86.0,100.0,0,0,0,0
1.6,62.3,74.2,0.0,21.5,37,86.0,100.0,0,0,0,0
1.5,60.9,73.9,0.0,21.5,37,86.0,100.0,0,0,0,0
2.2,62.3,72.5,0.0,21.5,37,86.0,100.0,0,0,0,0
2.4,62.7,73.2,0.0,21.4,37,86.0,100.0,0,0,0,0
2.2,62.4,73.7,0.0,21.4,37,86.0,100.0,0,0,0,0
2.5,63.5,73.6,0.0,21.4,37,86.0,100.0,0,0,0,0
2.3,63.0,74.5,0.0,21.4,37,86.0,100.0,0,0,0,0
1.7,61.9,73.8,0.0,21.4,37,86.0,100.0,0,0,0,0
2.6,63.6,73.5,0.0,21.4,37,86.0,100.0,0,0,0,0
4.9,64.9,74.4,0.0,21.4,37,86.0,100.0,0,0,0,0
5.1,64.9,75.0,0.0,21.6,37,86.0,100.0,0,0,0,0
4.9,64.0,74.9,0.0,21.6,37,86.0,100.0,0,0,0,0
2.4,64.2,74.8,0.0,21.6,37,86.0,100.0,0,0,0,0
3.9,65.0,75.0,0.0,22.0,37,86.0,100.0,0,0,0,0
2.8,64.3,75.5,0.0,21.8,37,86.0,100.0,0,0,0,0
2.2,64.1,75.4,0.0,21.8,37,86.0,100.0,0,0,0,0
3.0,63.6,75.4,0.0,21.8,37,86.0,100.0,0,0,0,0
2.4,64.3,74.8,0.0,21.5,37,86.0,100.0,0,0,0,0
2.9,64.3,75.3,0.0,21.6,37,86.0,100.0,0,0,0,0
1.9,62.8,75.5,0.0,21.6,38,86.0,100.0,0,0,0,0
1.5,62.8,74.4,0.0,21.5,37,86.0,100.0,0,0,0,0
2.4,62.6,74.3,0.0,21.5,37,86.0,100.0,0,0,0,0
1.6,62.5,74.0,0.0,21.4,37,86.0,100.0,0,0,0,0
2.1,63.1,74.3,0.0,21.4,37,86.0,100.0,0,0,0,0
5.1,64.7,74.7,0.0,21.4,37,86.0,100.0,0,0,0,0
1.8,63.1,74.9,0.0,21.4,37,86.0,100.0,0,0,0,0
3.5,64.2,74.5,0.0,21.5,37,86.0,100.0,0,0,0,0
2.8,64.5,75.0,0.0,21.6,38,86.0,100.0,0,0,0,0
3.2,64.8,75.5,0.0,21.6,37,86.0,100.0,0,0,0,0
3.5,65.1,75.8,0.0,21.4,37,86.0,100.0,0,0,0,0
3.4,65.7,75.7,0.0,21.6,37,86.0,100.0,0,0,0,0
3.5,64.5,75.9,0.0,21.6,37,86.0,100.0,0,0,0,0
